"well","datetime","condition","wavelength","value","timepoint","time"
"A...2",2026-03-12 16:09:52,"Bs","OD600",0.164700001478195,"t0",0
"B...2",2026-03-12 16:09:52,"Bs+Soil","OD600",0.177799999713898,"t0",0
"C...2",2026-03-12 16:09:52,"Soil","OD600",0.179399996995926,"t0",0
"D...2",2026-03-12 16:09:52,"Bs+Pp","OD600",0.173700004816055,"t0",0
"E...2",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.168500006198883,"t0",0
"F...2",2026-03-12 16:09:52,"Pp","OD600",0.178200006484985,"t0",0
"G...2",2026-03-12 16:09:52,"Pp+Soil","OD600",0.170000001788139,"t0",0
"H...2",2026-03-12 16:09:52,"M9","OD600",0.195700004696846,"t0",0
"A...3",2026-03-12 16:09:52,"Bs","OD600",0.1694,"t0",0
"B...3",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1783,"t0",0
"C...3",2026-03-12 16:09:52,"Soil","OD600",0.1852,"t0",0
"D...3",2026-03-12 16:09:52,"Bs+Pp","OD600",0.1765,"t0",0
"E...3",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.1711,"t0",0
"F...3",2026-03-12 16:09:52,"Pp","OD600",0.1772,"t0",0
"G...3",2026-03-12 16:09:52,"Pp+Soil","OD600",0.1743,"t0",0
"H...3",2026-03-12 16:09:52,"M9","OD600",0.1867,"t0",0
"A...4",2026-03-12 16:09:52,"Bs","OD600",0.1716,"t0",0
"B...4",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1797,"t0",0
"C...4",2026-03-12 16:09:52,"Soil","OD600",0.1878,"t0",0
"D...4",2026-03-12 16:09:52,"Bs+Pp","OD600",0.178,"t0",0
"E...4",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.171,"t0",0
"F...4",2026-03-12 16:09:52,"Pp","OD600",0.1793,"t0",0
"G...4",2026-03-12 16:09:52,"Pp+Soil","OD600",0.172,"t0",0
"H...4",2026-03-12 16:09:52,"M9","OD600",0.1859,"t0",0
"A...5",2026-03-12 16:09:52,"Bs","OD600",0.195700004696846,"t0",0
"B...5",2026-03-12 16:09:52,"Bs+Soil","OD600",0.181799992918968,"t0",0
"C...5",2026-03-12 16:09:52,"Soil","OD600",0.183400005102158,"t0",0
"D...5",2026-03-12 16:09:52,"Bs+Pp","OD600",0.179000005125999,"t0",0
"E...5",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.173199996352196,"t0",0
"F...5",2026-03-12 16:09:52,"Pp","OD600",0.17620000243187,"t0",0
"G...5",2026-03-12 16:09:52,"Pp+Soil","OD600",0.178900003433228,"t0",0
"H...5",2026-03-12 16:09:52,"M9","OD600",0.187299996614456,"t0",0
"A...6",2026-03-12 16:09:52,"Bs","OD600",0.172099992632866,"t0",0
"B...6",2026-03-12 16:09:52,"Bs+Soil","OD600",0.179199993610382,"t0",0
"C...6",2026-03-12 16:09:52,"Soil","OD600",0.186599999666214,"t0",0
"D...6",2026-03-12 16:09:52,"Bs+Pp","OD600",0.180099993944168,"t0",0
"E...6",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.173899993300438,"t0",0
"F...6",2026-03-12 16:09:52,"Pp","OD600",0.180299997329712,"t0",0
"G...6",2026-03-12 16:09:52,"Pp+Soil","OD600",0.177200004458427,"t0",0
"H...6",2026-03-12 16:09:52,"M9","OD600",0.228300005197525,"t0",0
"A...7",2026-03-12 16:09:52,"Bs","OD600",0.1718,"t0",0
"B...7",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1776,"t0",0
"C...7",2026-03-12 16:09:52,"Soil","OD600",0.1883,"t0",0
"D...7",2026-03-12 16:09:52,"Bs+Pp","OD600",0.18,"t0",0
"E...7",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.1774,"t0",0
"F...7",2026-03-12 16:09:52,"Pp","OD600",0.1792,"t0",0
"G...7",2026-03-12 16:09:52,"Pp+Soil","OD600",0.1753,"t0",0
"H...7",2026-03-12 16:09:52,"M9","OD600",0.2064,"t0",0
"A...8",2026-03-12 16:09:52,"Bs","OD600",0.1725,"t0",0
"B...8",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1788,"t0",0
"C...8",2026-03-12 16:09:52,"Soil","OD600",0.1938,"t0",0
"D...8",2026-03-12 16:09:52,"Bs+Pp","OD600",0.1779,"t0",0
"E...8",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.1746,"t0",0
"F...8",2026-03-12 16:09:52,"Pp","OD600",0.1813,"t0",0
"G...8",2026-03-12 16:09:52,"Pp+Soil","OD600",0.178,"t0",0
"H...8",2026-03-12 16:09:52,"M9","OD600",0.2304,"t0",0
"A...9",2026-03-12 16:09:52,"Bs","OD600",0.172900006175041,"t0",0
"B...9",2026-03-12 16:09:52,"Bs+Soil","OD600",0.180399999022484,"t0",0
"C...9",2026-03-12 16:09:52,"Soil","OD600",0.189600005745888,"t0",0
"D...9",2026-03-12 16:09:52,"Bs+Pp","OD600",0.17849999666214,"t0",0
"E...9",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.171599999070168,"t0",0
"F...9",2026-03-12 16:09:52,"Pp","OD600",0.179700002074242,"t0",0
"G...9",2026-03-12 16:09:52,"Pp+Soil","OD600",0.173700004816055,"t0",0
"H...9",2026-03-12 16:09:52,"M9","OD600",0.18979999423027,"t0",0
"A...10",2026-03-12 16:09:52,"Bs","OD600",0.1706,"t0",0
"B...10",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1797,"t0",0
"C...10",2026-03-12 16:09:52,"Soil","OD600",0.1905,"t0",0
"D...10",2026-03-12 16:09:52,"Bs+Pp","OD600",0.1769,"t0",0
"E...10",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.1736,"t0",0
"F...10",2026-03-12 16:09:52,"Pp","OD600",0.1797,"t0",0
"G...10",2026-03-12 16:09:52,"Pp+Soil","OD600",0.1739,"t0",0
"H...10",2026-03-12 16:09:52,"M9","OD600",0.19,"t0",0
"A...11",2026-03-12 16:09:52,"Bs","OD600",0.1735,"t0",0
"B...11",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1767,"t0",0
"C...11",2026-03-12 16:09:52,"Soil","OD600",0.189,"t0",0
"D...11",2026-03-12 16:09:52,"Bs+Pp","OD600",0.1765,"t0",0
"E...11",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.1827,"t0",0
"F...11",2026-03-12 16:09:52,"Pp","OD600",0.1787,"t0",0
"G...11",2026-03-12 16:09:52,"Pp+Soil","OD600",0.1742,"t0",0
"H...11",2026-03-12 16:09:52,"M9","OD600",0.1797,"t0",0
"A...12",2026-03-12 16:09:52,"Bs","OD600",0.1701,"t0",0
"B...12",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1757,"t0",0
"C...12",2026-03-12 16:09:52,"Soil","OD600",0.1877,"t0",0
"D...12",2026-03-12 16:09:52,"Bs+Pp","OD600",0.18,"t0",0
"E...12",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.1728,"t0",0
"F...12",2026-03-12 16:09:52,"Pp","OD600",0.1794,"t0",0
"G...12",2026-03-12 16:09:52,"Pp+Soil","OD600",0.1745,"t0",0
"H...12",2026-03-12 16:09:52,"M9","OD600",0.1838,"t0",0
"A...13",2026-03-12 16:09:52,"Bs","OD600",0.1696,"t0",0
"B...13",2026-03-12 16:09:52,"Bs+Soil","OD600",0.1801,"t0",0
"C...13",2026-03-12 16:09:52,"Soil","OD600",0.1855,"t0",0
"D...13",2026-03-12 16:09:52,"Bs+Pp","OD600",0.1785,"t0",0
"E...13",2026-03-12 16:09:52,"Bs+Pp+Soil","OD600",0.172,"t0",0
"F...13",2026-03-12 16:09:52,"Pp","OD600",0.1802,"t0",0
"G...13",2026-03-12 16:09:52,"Pp+Soil","OD600",0.1728,"t0",0
"H...13",2026-03-12 16:09:52,"M9","OD600",0.1817,"t0",0
"A...2",2026-03-12 16:09:52,"Bs","GFP100",621,"t0",0
"B...2",2026-03-12 16:09:52,"Bs+Soil","GFP100",635,"t0",0
"C...2",2026-03-12 16:09:52,"Soil","GFP100",633,"t0",0
"D...2",2026-03-12 16:09:52,"Bs+Pp","GFP100",651,"t0",0
"E...2",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",668,"t0",0
"F...2",2026-03-12 16:09:52,"Pp","GFP100",664,"t0",0
"G...2",2026-03-12 16:09:52,"Pp+Soil","GFP100",678,"t0",0
"H...2",2026-03-12 16:09:52,"M9","GFP100",613,"t0",0
"A...3",2026-03-12 16:09:52,"Bs","GFP100",638,"t0",0
"B...3",2026-03-12 16:09:52,"Bs+Soil","GFP100",645,"t0",0
"C...3",2026-03-12 16:09:52,"Soil","GFP100",645,"t0",0
"D...3",2026-03-12 16:09:52,"Bs+Pp","GFP100",665,"t0",0
"E...3",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",696,"t0",0
"F...3",2026-03-12 16:09:52,"Pp","GFP100",670,"t0",0
"G...3",2026-03-12 16:09:52,"Pp+Soil","GFP100",686,"t0",0
"H...3",2026-03-12 16:09:52,"M9","GFP100",658,"t0",0
"A...4",2026-03-12 16:09:52,"Bs","GFP100",642,"t0",0
"B...4",2026-03-12 16:09:52,"Bs+Soil","GFP100",656,"t0",0
"C...4",2026-03-12 16:09:52,"Soil","GFP100",653,"t0",0
"D...4",2026-03-12 16:09:52,"Bs+Pp","GFP100",667,"t0",0
"E...4",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",691,"t0",0
"F...4",2026-03-12 16:09:52,"Pp","GFP100",681,"t0",0
