"time","well","OD600","G","R","column","dilution","species","condition"
0,"A1",0.23,4964,16157,1,"10^-1","Pp","Pp 10^-1"
0,"A2",0.2249,4867,16150,2,"10^-2","Pp","Pp 10^-2"
0,"A3",0.2279,4883,16263,3,"10^-3","Pp","Pp 10^-3"
0,"A4",0.2275,4855,16208,4,"10^-4","Pp","Pp 10^-4"
0,"A5",0.2291,4851,16076,5,"10^-5","Pp","Pp 10^-5"
0,"A6",0.2227,4751,15832,6,"10^-6","Pp","Pp 10^-6"
0,"A7",0.2253,4789,16088,7,"10^-2","Bs","Bs 10^-2"
0,"A8",0.2563,4759,16451,8,"10^-3","Bs","Bs 10^-3"
0,"A9",0.2266,4775,16188,9,"10^-4","Bs","Bs 10^-4"
0,"A10",0.23,4835,16344,10,"10^-5","Bs","Bs 10^-5"
0,"A11",0.2274,4877,16303,11,"10^-6","Bs","Bs 10^-6"
0,"A12",0.228,4844,16205,12,"10^-7","Bs","Bs 10^-7"
0,"B1",0.2377,5038,16316,1,"10^-1","Pp","Pp 10^-1"
0,"B2",0.23,4924,16159,2,"10^-2","Pp","Pp 10^-2"
0,"B3",0.2352,4890,16169,3,"10^-3","Pp","Pp 10^-3"
0,"B4",0.2282,4900,16427,4,"10^-4","Pp","Pp 10^-4"
0,"B5",0.2283,4866,16167,5,"10^-5","Pp","Pp 10^-5"
0,"B6",0.2354,4869,16277,6,"10^-6","Pp","Pp 10^-6"
0,"B7",0.2413,4916,16400,7,"10^-2","Bs","Bs 10^-2"
0,"B8",0.2623,4884,16666,8,"10^-3","Bs","Bs 10^-3"
0,"B9",0.231,4880,16287,9,"10^-4","Bs","Bs 10^-4"
0,"B10",0.2322,4881,16250,10,"10^-5","Bs","Bs 10^-5"
0,"B11",0.2299,4871,16129,11,"10^-6","Bs","Bs 10^-6"
0,"B12",0.2269,4852,16197,12,"10^-7","Bs","Bs 10^-7"
0,"C1",0.2302,4946,16079,1,"10^-1","Pp","Pp 10^-1"
0,"C2",0.2276,4883,16203,2,"10^-2","Pp","Pp 10^-2"
0,"C3",0.2283,4861,16338,3,"10^-3","Pp","Pp 10^-3"
0,"C4",0.2245,4897,16145,4,"10^-4","Pp","Pp 10^-4"
0,"C5",0.2283,4891,16256,5,"10^-5","Pp","Pp 10^-5"
0,"C6",0.2279,4922,16235,6,"10^-6","Pp","Pp 10^-6"
0,"C7",0.2316,4862,16232,7,"10^-2","Bs","Bs 10^-2"
0,"C8",0.2511,4890,16709,8,"10^-3","Bs","Bs 10^-3"
0,"C9",0.2279,4835,16170,9,"10^-4","Bs","Bs 10^-4"
0,"C10",0.2343,4894,16327,10,"10^-5","Bs","Bs 10^-5"
0,"C11",0.2353,4852,16242,11,"10^-6","Bs","Bs 10^-6"
0,"C12",0.2365,4849,16246,12,"10^-7","Bs","Bs 10^-7"
0,"D1",0.2376,5011,16218,1,"10^-1","Pp","Pp 10^-1"
0,"D2",0.2281,4903,16171,2,"10^-2","Pp","Pp 10^-2"
0,"D3",0.2341,4888,16329,3,"10^-3","Pp","Pp 10^-3"
0,"D4",0.2841,4876,16176,4,"10^-4","Pp","Pp 10^-4"
0,"D5",0.2325,4890,16296,5,"10^-5","Pp","Pp 10^-5"
0,"D6",0.2379,4888,16427,6,"10^-6","Pp","Pp 10^-6"
0,"D7",0.3549,4285,14434,7,"10^-2","Bs","Bs 10^-2"
0,"D8",0.2635,4897,16666,8,"10^-3","Bs","Bs 10^-3"
0,"D9",0.2267,4855,16271,9,"10^-4","Bs","Bs 10^-4"
0,"D10",0.2279,4916,16162,10,"10^-5","Bs","Bs 10^-5"
0,"D11",0.2256,4891,16198,11,"10^-6","Bs","Bs 10^-6"
0,"D12",0.2287,4808,16321,12,"10^-7","Bs","Bs 10^-7"
0,"E1",0.2334,4984,16010,1,"10^-1","Pp","Pp 10^-1"
0,"E2",0.2261,4872,16072,2,"10^-2","Pp","Pp 10^-2"
0,"E3",0.2377,4877,16110,3,"10^-3","Pp","Pp 10^-3"
0,"E4",0.2299,4930,16388,4,"10^-4","Pp","Pp 10^-4"
0,"E5",0.254,4689,15800,5,"10^-5","Pp","Pp 10^-5"
0,"E6",0.2304,4921,16252,6,"10^-6","Pp","Pp 10^-6"
0,"E7",0.2453,4929,16497,7,"10^-2","Bs","Bs 10^-2"
0,"E8",0.2823,4766,16475,8,"10^-3","Bs","Bs 10^-3"
0,"E9",0.3761,4215,14151,9,"10^-4","Bs","Bs 10^-4"
0,"E10",0.4835,3550,12185,10,"10^-5","Bs","Bs 10^-5"
0,"E11",0.2407,4812,16074,11,"10^-6","Bs","Bs 10^-6"
0,"E12",0.2367,4871,16320,12,"10^-7","Bs","Bs 10^-7"
0,"F1",0.2616,4842,15569,1,"10^-1","Pp","Pp 10^-1"
0,"F2",0.2291,4882,16226,2,"10^-2","Pp","Pp 10^-2"
0,"F3",0.2312,4903,16216,3,"10^-3","Pp","Pp 10^-3"
0,"F4",0.2407,4875,16198,4,"10^-4","Pp","Pp 10^-4"
0,"F5",0.2358,4872,16268,5,"10^-5","Pp","Pp 10^-5"
