"well","datetime","condition","wavelength","value","time"
"A...2",2026-04-24 16:07:00,"Bs","OD600",0.2572,0
"B...2",2026-04-24 16:07:00,"Bs+NI","OD600",0.2636,0
"C...2",2026-04-24 16:07:00,"NI","OD600",0.2526,0
"D...2",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.2653,0
"E...2",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2529,0
"F...2",2026-04-24 16:07:00,"Pp+NI","OD600",0.2564,0
"G...2",2026-04-24 16:07:00,"Pp","OD600",0.2576,0
"H...2",2026-04-24 16:07:00,"M9","OD600",0.2554,0
"A...3",2026-04-24 16:07:00,"Bs","OD600",0.2614,0
"B...3",2026-04-24 16:07:00,"Bs+NI","OD600",0.2569,0
"C...3",2026-04-24 16:07:00,"NI","OD600",0.2562,0
"D...3",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.271,0
"E...3",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2602,0
"F...3",2026-04-24 16:07:00,"Pp+NI","OD600",0.2556,0
"G...3",2026-04-24 16:07:00,"Pp","OD600",0.2593,0
"H...3",2026-04-24 16:07:00,"M9","OD600",0.2569,0
"A...4",2026-04-24 16:07:00,"Bs","OD600",0.2624,0
"B...4",2026-04-24 16:07:00,"Bs+NI","OD600",0.2626,0
"C...4",2026-04-24 16:07:00,"NI","OD600",0.2583,0
"D...4",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.2626,0
"E...4",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2582,0
"F...4",2026-04-24 16:07:00,"Pp+NI","OD600",0.2608,0
"G...4",2026-04-24 16:07:00,"Pp","OD600",0.2662,0
"H...4",2026-04-24 16:07:00,"M9","OD600",0.2567,0
"A...5",2026-04-24 16:07:00,"Bs","OD600",0.2619,0
"B...5",2026-04-24 16:07:00,"Bs+NI","OD600",0.2675,0
"C...5",2026-04-24 16:07:00,"NI","OD600",0.2632,0
"D...5",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.2696,0
"E...5",2026-04-24 16:07:00,"Bs+Pp","OD600",0.259,0
"F...5",2026-04-24 16:07:00,"Pp+NI","OD600",0.2599,0
"G...5",2026-04-24 16:07:00,"Pp","OD600",0.2615,0
"H...5",2026-04-24 16:07:00,"M9","OD600",0.2587,0
"A...6",2026-04-24 16:07:00,"Bs","OD600",0.2736,0
"B...6",2026-04-24 16:07:00,"Bs+NI","OD600",0.2713,0
"C...6",2026-04-24 16:07:00,"NI","OD600",0.2624,0
"D...6",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.2657,0
"E...6",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2608,0
"F...6",2026-04-24 16:07:00,"Pp+NI","OD600",0.2612,0
"G...6",2026-04-24 16:07:00,"Pp","OD600",0.2561,0
"H...6",2026-04-24 16:07:00,"M9","OD600",0.2646,0
"A...7",2026-04-24 16:07:00,"Bs","OD600",0.2627,0
"B...7",2026-04-24 16:07:00,"Bs+NI","OD600",0.2852,0
"C...7",2026-04-24 16:07:00,"NI","OD600",0.2574,0
"D...7",2026-04-24 16:07:00,"Bs+Pp+NI","OD600",0.263,0
"E...7",2026-04-24 16:07:00,"Bs+Pp","OD600",0.2594,0
"F...7",2026-04-24 16:07:00,"Pp+NI","OD600",0.262,0
"G...7",2026-04-24 16:07:00,"Pp","OD600",0.2576,0
"H...7",2026-04-24 16:07:00,"M9","OD600",0.2791,0
"A...8",2026-04-24 16:07:00,"Bs","OD600",0.2702,0
"B...8",2026-04-24 16:07:00,"Bs+NI","OD600",0.2799,0
"C...8",2026-04-24 16:07:00,"NI","OD600",0.2621,0
